Id,Story,Iteration Start,Iteration End,Requested By,Description,Task,Task,Task,Task
43932145,Janice wants a presentation created to show the objects of the Solution,"Feb 9, 2013","Feb 20, 2013",Alex Jones,First three tasks are research. ,,,,
47919431,A justification of the project,"Feb 9, 2013","Feb 20, 2013",Alex Jones,Produce a justification of the project including what it will do and why we are doing it,,,,
47880729,Research into available note taking applications,"Feb 9, 2013","Feb18, 2013",Alex Jones,Compile a list of features based on products already available,,,,
47920089,Compare features of note taking applications to consider,"Feb 9, 2013","Feb 28, 2013",Alex Jones,Compare and contrast the features of other note taking applications and take into consideration for Notesie,,,,
47881047,Research Responsive Design and Development,"Feb 16, 2013","Feb 20, 2013",Alex Jones,Look into responsive design,Research good examples of responsive design,,,
47919623,Think of ways of making our presentation stand out,"Feb 16, 2013","Feb 20, 2013",Alex Jones,Think about the implementation of ideas in order to make our application stand out,,,,
47880973,Research in UI and UX,"Feb 16, 2013","Feb 20, 2013",Tom Osborne,Conduct research into how to achieve the best possible User Interface and User Experience.,Research UI and good examples,Research UX and good examples,,
47920763,Gain an insight into good UI and UX,"Feb 16, 2013","Feb 20, 2013",Tom Osborne,Research good examples of UI and UX and apply them to the mock up design of the application,,,,
47919577,Research on Teamwork and characteristics of a good product,"Feb 9, 2013","Feb 20, 2013",Alex Jones,Research methods for teamwork and gain a good understanding of the main characteristics an application needs to succeed,,,,
47919381,Identify clear objectives for the business solution design,"Feb 9, 2013","Feb 20, 2013",Tom Osborne,Decide on the objectives for the application and order them in level of importance.,,,,
47919485,A list of limiting factors or constraints,"Feb 9, 2013","Feb 20, 2013",Tom Osborne,Produce a list of factors that we think might hinder the progress of the project,,,,
44004897,We need to prove that our application is needed through research,"Feb 9, 2013","Feb 20, 2013",Alex Jones,,Create a questionnaire for both student & staff,Analysis this research to have a solid foundation,,
47883737,Create test plan,"Feb 16, 2013","Feb 20, 2013",Alex Jones,"Create a test plan that complies to standards, documenting all test cases to undertake when scrutinising the application",Performance testing,,,
47919677,Create the presentation,"Feb 9, 2013","Feb 22, 2013",Tom Osborne,"Create a presentation for the project justification, including a proposal and applications objectives",,,,
47919737,Refine & practice the presentation,"Feb 9, 2014","Feb 22, 2014",Tom Osborne,Make sure that we fully understand the content that we have used in our presentation,,,,
47920889,Learn features of Photoshop required,"Feb 16, 2013","Feb 20, 2013",Tom Osborne,Learn the features of Photoshop required in order to produce a mock up of the final application design,,,,
44025407,Research into Application design,"Feb 16, 2013","Feb 20, 2013",Alex Jones,Look into how the program will look,"Look into other related products, compile a document of them all. Get as much as possible.",Wire frame the application,Create a number of Photoshop designs,"Get some user feedback on these designs, document this (we could use a questionnaire/interview)"
47881095,Create mock-up of the application,"Feb 23, 2013","Mar 1, 2013",Tom Osborne,Create a mock-up of the application in Photoshop,Photoshop tutorials,Create mock-up of application,,
44025527,Final Design,"Feb 23, 2013","Mar 7, 2013",Alex Jones,,From feedback refine and produce the final design,Show it to Louise Hutson,,
